Home,Away,Home_score,Away_score,Winner
Pitt,Georgia Tech,24,19,0
Syracuse,Florida State,30,7,0
Georgia Tech,Clemson,21,49,1
North Carolina,Pitt,38,35,0
Virginia,Louisville,27,3,0
Miami,North Carolina,47,10,0
Clemson,Syracuse,27,23,0
Louisville,Florida State,24,28,1
North Carolina State,Virginia,35,21,0
Duke,Virginia Tech,14,31,1
Louisville,Georgia Tech,31,66,1
Wake Forest,Clemson,3,63,1
Miami,Florida State,28,27,0
North Carolina State,Boston College,28,23,0
Pitt,Syracuse,44,37,0
Boston College,Louisville,38,20,0
Georgia Tech,Duke,14,28,1
Virginia,Miami,16,13,0
North Carolina,Virginia Tech,19,22,1
Clemson,North Carolina State,41,7,0
Florida State,Wake Forest,38,17,0
Syracuse,North Carolina,40,37,0
Duke,Virginia,14,28,1
Virginia Tech,Georgia Tech,28,49,1
Boston College,Miami,27,14,0
Florida State,Clemson,10,59,1
Pitt,Duke,54,45,0
Syracuse,North Carolina State,51,41,0
Virginia,North Carolina,31,21,0
Louisville,Wake Forest,35,56,1
Virginia,Pitt,13,23,1
Virginia Tech,Boston College,21,31,1
Clemson,Louisville,77,16,0
Miami,Duke,12,20,1
North Carolina,Georgia Tech,28,38,1
North Carolina State,Florida State,47,28,0
Wake Forest,Syracuse,24,41,1
North Carolina State,Wake Forest,23,27,1
Syracuse,Louisville,54,23,0
Boston College,Clemson,7,27,1
Duke,North Carolina,42,35,0
Georgia Tech,Miami,27,21,0
Pitt,Virginia Tech,52,22,0
Clemson,Duke,35,6,0
Florida State,Boston College,22,21,0
Georgia Tech,Virginia,30,27,0
Virginia Tech,Miami,14,38,1
Louisville,North Carolina State,10,52,1
Wake Forest,Pitt,13,34,1
Virginia Tech,Virginia,34,31,0
Miami,Pitt,24,3,0
North Carolina,North Carolina State,28,34,1
Boston College,Syracuse,21,42,1
Duke,Wake Forest,7,59,1
Iowa State,Oklahoma,27,37,1
Baylor,Kansas,26,7,0
Texas,Texas Christian,31,16,0
Oklahoma State,Texas Tech,17,41,1
West Virginia,Kansas State,35,6,0
Oklahoma,Baylor,66,33,0
Kansas,Oklahoma State,28,48,1
Kansas State,Texas,14,19,1
Texas Christian,Iowa State,17,14,0
Texas Tech,West Virginia,34,42,1
Baylor,Kansas State,37,34,0
Oklahoma State,Iowa State,42,48,1
Texas,Oklahoma,48,45,0
West Virginia,Kansas,38,22,0
Texas Christian,Texas Tech,14,17,1
Iowa State,West Virginia,30,14,0
Kansas State,Oklahoma State,31,12,0
Texas,Baylor,23,17,0
Texas Christian,Oklahoma,27,52,1
Texas Tech,Kansas,48,16,0
West Virginia,Baylor,58,14,0
Iowa State,Texas Tech,40,31,0
Kansas,Texas Christian,27,26,0
Oklahoma,Kansas State,51,14,0
Oklahoma State,Texas,38,35,0
Baylor,Oklahoma State,35,31,0
Kansas,Iowa State,3,27,1
Texas Tech,Oklahoma,46,51,1
Texas Christian,Kansas State,14,13,0
Texas,West Virginia,41,42,1
Iowa State,Baylor,28,14,0
Kansas State,Kansas,21,17,0
Oklahoma,Oklahoma State,48,47,0
Texas Tech,Texas,34,41,1
West Virginia,Texas Christian,47,10,0
Kansas State,Texas Tech,21,6,0
Oklahoma,Kansas,55,40,0
Oklahoma State,West Virginia,45,41,0
Texas,Iowa State,24,10,0
Baylor,Texas Christian,9,16,1
West Virginia,Oklahoma,56,59,1
Kansas,Texas,17,24,1
Baylor,Texas Tech,35,24,0
Iowa State,Kansas State,42,38,0
Texas Christian,Oklahoma State,31,24,0
Stanford,USC,17,3,0
Utah,Washington,7,21,1
USC,Washington State,39,36,0
Oregon State,Arizona,14,35,1
Oregon,Stanford,31,38,1
Washington,Arizona State,27,20,0
Colorado,UCLA,38,16,0
Arizona State,Oregon State,52,24,0
California,Oregon,24,42,1
Arizona,USC,20,24,1
Washington State,Utah,28,24,0
Arizona,California,24,17,0
Colorado,Arizona State,28,21,0
Stanford,Utah,21,40,1
UCLA,Washington,24,31,1
Oregon State,Washington State,37,56,1
Utah,Arizona,42,10,0
Oregon,Washington,30,27,0
USC,Colorado,31,20,0
California,UCLA,7,37,1
Arizona State,Stanford,13,20,1
Oregon State,California,7,49,1
UCLA,Arizona,31,30,0
Utah,USC,41,28,0
Washington,Colorado,27,13,0
Washington State,Oregon,34,20,0
UCLA,Utah,10,41,1
Arizona,Oregon,44,15,0
USC,Arizona State,35,38,1
California,Washington,12,10,0
Colorado,Oregon State,34,41,1
Stanford,Washington State,38,41,1
Arizona,Colorado,42,34,0
Arizona State,Utah,38,20,0
Oregon,UCLA,42,21,0
Oregon State,USC,21,38,1
Washington,Stanford,27,23,0
Washington State,California,19,13,0
Arizona State,UCLA,31,28,0
USC,California,14,15,1
Stanford,Oregon State,48,17,0
Utah,Oregon,32,25,0
Colorado,Washington State,7,31,1
Oregon,Arizona State,31,29,0
UCLA,USC,34,27,0
Colorado,Utah,7,30,1
Washington,Oregon State,42,23,0
Washington State,Arizona,69,28,0
Oregon State,Oregon,15,55,1
Washington State,Washington,15,28,1
Arizona,Arizona State,40,41,1
California,Colorado,33,21,0
UCLA,Stanford,42,49,1
California,Stanford,13,23,1
